dat,artist,musicbrainz_url,title,album,label,year,country
2014.06.05,Yellow Magic Orchestra,http://musicbrainz.org/artist/ac5af671-1df0-4312-8b7b-e61992ecc883,Rydeen,Solid State Survivor,Alfa,1979,Japan
2014.06.05,Aucan,http://musicbrainz.org/artist/c39d82bb-c487-4baf-8318-131a32890c13,Black Rainbow,Black Rainbow,La Tempesta International,2011,Italy
2014.06.05,PVT,http://musicbrainz.org/artist/a5f1a265-22b6-4db1-af7c-ab04c3367b6e,Window,Church With no Magic,Warp,2010,Australia
2014.06.05,Flying Lotus,http://musicbrainz.org/artist/fc7376fe-1a6f-4414-b4a7-83f50ed59c92,Zodiac Shit,Cosmogramma,Warp,2010,USA
2014.06.05,Björk,http://musicbrainz.org/artist/87c5dedd-371d-4a53-9f7f-80522fb7f3cb,Come to Me,Debut,One Little Indian,1993,Iceland
2014.06.05,Boards of Canada,http://musicbrainz.org/artist/69158f97-4c07-4c4e-baf8-4e4ab1ed666e,Peacock Tail,The Campfire Headphase,Warp,2005,Scotland
2014.06.05,Kid606,http://musicbrainz.org/artist/45719b11-5e7a-4d8a-83c8-76d9f6b8caf5,Dim Ego Prelude,Songs About Fucking Steve Albini,Important Records,2010,Venezuela
2014.06.05,Kangding Ray,http://musicbrainz.org/artist/db9ee7c8-d0b7-4004-972b-62d99dcd2d15,Pruitt Igoe,Pruitt Igoe,Raster-Noton,2010,France
2014.06.05,Autechre,http://musicbrainz.org/artist/410c9baf-5469-44f6-9852-826524b80c61,Clipper,Tri Repetae,Warp,1995,England
2014.06.05,Amon Tobin,http://musicbrainz.org/artist/630662ea-1c7d-4208-99fd-ba3afec20f0c,Bloodstone,Foley Room,Ninja Tune,2007,Brazil
2014.06.12,Pierre Henry,http://musicbrainz.org/artist/24e0aaa1-7961-4ab8-865e-e736226e41c9,Psyché Rock,Messe pour le temps présent et musiques concrètes,Philips,1972,France
2014.06.12,The Notwist,http://musicbrainz.org/artist/f180cec2-9421-4417-a841-c7372090d13d,Into Another Tune,Close to the Glass,Sub Pop,2014,Germany
irregular: needs manual input
2014.06.12,Kieran Hebden and Steve Reid,http://musicbrainz.org/artist/acef318f-bdd4-485d-b7e9-313e58e646fa,Morning Prayer,"The Exchange Session, Volume 1",Domino,2006,England and USA
2014.06.12,Ultraísta,http://musicbrainz.org/artist/fe4a653a-dc81-4422-b3f0-60ecb9107eeb,Smalltalk,Ultraísta,Temporary Residence Limited,2013,England and USA
2014.06.12,Radiohead,http://musicbrainz.org/artist/a74b1b7f-71a5-4011-9441-d0b5e4122711,Codex,The King of Limbs,self-released,2011,England
2014.06.12,Naono,http://musicbrainz.org/artist/21b20dcd-b6b4-4d53-96e0-9c3f97c5670e,Healing Process,Sleepy Pebbles,Archaic Horizon,2010,Greece) {[download](https://archive.org/details/AH038_naono_-_Sleepy_Pebbles
2014.06.12,Angel Eye,,Due Corpse,Dire Dish,Not Not Fun Records,2010,Australia
2014.06.19,Bruce Haack,http://musicbrainz.org/artist/f9b7f120-3c0d-4ada-bc14-95ad2550e9cf,Incantation,Bruce Haack Remixes,2012,Stones Throw Records,Canada/Australia
irregular: needs manual input
2014.06.19,John Wizards,http://musicbrainz.org/artist/9ead0b84-3e7b-40f5-bcb7-ca658e782801,Tet Lek Schrempf,John Wizards,2013,Planet Mu,South Africa
2014.06.19,Lifeformed,http://musicbrainz.org/artist/644b80c2-2163-48f6-9d18-8e59f3cc082a,Swimming while it rains,Fastfall: Dustforce OST,2012,self-produced,Australia/USA
2014.06.19,Uri Caine Trio,https://musicbrainz.org/artist/75f0db0e-12c5-4c86-be14-5b87008a7967,Toe Jam,Bedrock³,2001,Winter & Winter,USA/Germany
irregular: needs manual input
2014.06.19,Fever Ray,http://musicbrainz.org/artist/f7df5df4-4dfa-459d-972b-1ba051c15ddc,When I Grow Up,Fever Ray,2009,Rabid,Sweden
2014.06.19,Beat Culture,http://musicbrainz.org/artist/a14f9dc1-4184-4219-9dde-544a831408df,Appointment,Goldenbacked Weaver,2011,self-released,Hong Kong
2014.06.19,Rone,http://musicbrainz.org/artist/5fb94de9-6534-48e8-acd7-ee81f8604432,Bora Vocal,Spanish Breakfast,2009,InFiné,France
2014.06.19,Bottin,http://musicbrainz.org/artist/f587dda0-e306-42e4-af07-11e0509a3d1b,All for One,Punica Fides,2014,Bear Funk,Italy
2014.06.26,John Sen,,Nola,The Mundelein Organ Revisited,(no label),1993,USA
irregular: needs manual input
2014.06.26,To Rococo Rot,http://musicbrainz.org/artist/3e7321b9-095c-4689-a086-eb75fa750157,Untitled,Kölner Brett,Staubgold,2001,Germany
2014.06.26,Junior Boys,http://musicbrainz.org/artist/86a064f9-3ed4-4621-b29d-d05442c6b1ae,Parallel Lines,Begone Dull Care,Domino,2009,Canada
2014.06.26,Loscil,http://musicbrainz.org/artist/4f2c565b-ac40-4678-ba61-4fcf3b97edbc,Dub for Cascadia,Endless Falls,Kranky,2010,Canada
2014.06.26,Muslimgauze,http://musicbrainz.org/artist/06fc1189-d7cd-4344-b09a-51cd82cfefe5,Uzi Mahmood 7,Uzi Mahmood,Soleilmoon Recordings,2009,UK
irregular: needs manual input
2014.06.26,Ra,http://musicbrainz.org/artist/cc244bb5-cfa9-4511-a6ea-67cafcfcd91d,Vocal Insanity,Binary,Universal,2014,Australia
irregular: needs manual input
irregular: needs manual input
2014.07.03,Locust Toybox,http://musicbrainz.org/artist/f84702cf-2756-4dd1-99af-e552cc1df4a5,Crawlusc,Noon,self-released,2001,Great Britain
irregular: needs manual input
2014.07.03,El Guincho,http://musicbrainz.org/artist/7e57d8a2-e6eb-48dd-8e50-ff7eaa412ccb,Buenos matrimonios ahí fuera,Alegranza,Discoteca Océano (ES) & Mistletone Records (AU),2007,Spain
2014.07.03,Cornelius,http://musicbrainz.org/artist/df765d93-621c-437f-99fe-fda9e135f89a,Brazil,Point,Trattoria & Matador Records,2001,Japan
